time_stamp,humidity,temperature,pressure,pm2.5_atm,pm2.5_atm_a,pm2.5_atm_b
2025-06-26T00:30:00Z,48,78,1013.06,11.4,11.9,10.9
2025-06-26T12:30:00Z,59,71,1013.94,43.0,43.8,42.3
2025-06-26T19:00:00Z,33,92,1014.07,12.0,12.6,11.4
2025-07-06T07:30:00Z,67,68,1015.46,16.6,17.6,15.5
2025-07-06T04:30:00Z,64,68,1016.07,14.1,15.0,13.3
2025-06-24T21:30:00Z,37,85,1015.6,7.4,7.6,7.2
2025-06-24T09:30:00Z,58,70,1014.29,12.5,13.6,11.4
2025-06-24T10:30:00Z,59,70,1014.3,13.0,14.0,12.1
2025-06-24T19:30:00Z,37,86,1016.52,9.0,9.4,8.7
2025-06-24T04:00:00Z,60,69,1013.51,12.7,13.6,11.8
2025-05-13T13:00:00Z,58,61,1014.35,4.3,4.7,3.8
2025-05-13T12:30:00Z,58,61,1014.16,4.1,4.4,3.7
2025-05-13T16:30:00Z,28,81,1016.22,6.1,6.7,5.5
2025-07-11T03:30:00Z,62,71,1011.56,9.5,10.4,8.7
2025-07-11T16:30:00Z,52,78,1014.07,25.5,26.9,24.2
2025-07-11T15:00:00Z,58,74,1014.13,25.9,27.4,24.4
2025-06-27T12:00:00Z,60,71,1012.72,41.7,42.5,40.9
2025-06-27T17:30:00Z,32,93,1014.27,28.4,29.7,27.2
2025-06-27T21:30:00Z,37,87,1013.86,25.7,26.6,24.8
2025-07-02T02:00:00Z,53,74,1009.99,15.5,16.3,14.6
2025-07-02T22:00:00Z,38,83,1011.43,6.4,6.8,6.1
2025-05-29T05:00:00Z,55,70,1015.58,15.0,15.5,14.6
2025-07-17T15:30:00Z,37,88,1014.79,6.7,7.0,6.4
2025-07-17T06:00:00Z,61,69,1013.89,4.4,4.8,4.0
2025-07-17T04:30:00Z,60,70,1013.94,4.4,4.9,4.0
2025-07-23T11:00:00Z,59,70,1016.31,11.0,11.8,10.3
2025-07-23T19:00:00Z,32,92,1018.0,12.1,12.7,11.5
2025-07-23T23:30:00Z,46,80,1016.65,8.2,8.7,7.7
2025-07-23T20:00:00Z,34,90,1017.61,9.2,9.5,8.8
2025-05-23T07:00:00Z,62,69,1013.73,18.4,19.5,17.3
2025-05-23T06:00:00Z,63,68,1014.1,17.6,18.7,16.5
2025-05-23T00:30:00Z,48,78,1013.21,11.7,12.4,11.0
2025-05-31T12:00:00Z,65,69,1013.78,31.1,31.8,30.3
2025-05-31T09:30:00Z,62,70,1014.05,25.4,26.8,24.0
2025-05-31T21:30:00Z,41,85,1013.53,40.8,41.9,39.6
2025-06-29T08:00:00Z,64,70,1014.84,23.2,24.5,22.0
2025-06-29T04:00:00Z,66,70,1013.59,22.7,24.1,21.3
2025-06-29T19:00:00Z,32,92,1015.19,16.1,17.0,15.3
2025-06-29T07:00:00Z,64,71,1014.53,20.9,21.9,19.9
2025-06-29T03:30:00Z,64,70,1013.36,19.9,21.2,18.7
